number,name,symbol,name_symbol,pronunciation,appearance,atomic_number,group_block,period,element_category,atomic_weight,electron_configuration,per_shell,color,phase,melting_point,boiling_point,density_at_stp,when_liquid_at_mp,when_liquid_at_bp,triple_point,critical_point,heat_of_fusion,heat_of_vaporization,molar_heat_capacity,p_(pa),oxidation_states,electronegativity,ionization_energies,covalent_radius,van_der_waals_radius,crystal_structure,speed_of_sound,thermal_conductivity,magnetic_ordering,cas_number,discovery,named_by,iso,at_t_(k),naming,first_isolation,density_near_rt,atomic_radius,speed_of_sound_thin_rod,thermal_expansion,electrical_resistivity,youngs_modulus,shear_modulus,bulk_modulus,mohs_hardness,brinell_hardness,poisson_ratio,vickers_hardness,allotropes,density_when_liquid_at_mp,sublimation_point,recognized_as_an_element_by,heat_of_vaporisation,ionisation_energies,prediction,discovery_and_first_isolation,alternative_name,band_gap,recognised_as_an_element_by,curie_point,recognized_as_a_unique_metal_by,recognized_as_a_distinct_element_by,thermal_diffusivity,tensile_strength,molar_volume,proposed_formal_name,alternative_names
65,terbium,tb,"terbium, tb","/?t??rbi?m/, tur-bee-?m",silvery white,65,"group n/a, f-block",6,lanthanide,158.925352,[xe] 4f9 6s2,2,,solid,1629,3396,,7.65,,,,10.15,391,28.91,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1789, 1979, (2201), (2505), (2913), (3491)",4,pauling scale: 1.2 (?),"1st: 565.8 kj/mol, 2nd: 1110 kj/mol, 3rd: 2114 kj/mol",194±5 pm,,hexagonal close-packed (hcp),,11.1,paramagnetic at 300 k,7440-27-9,,,"iso, na, half-life, dm, de (mev), dp, 157tb, syn, 71 y, ?, 0.060, 157gd, 158tb, syn, 180 y, ?, 1.220, 158gd, ??, 0.937, 158dy, 159tb, 100%, 159tb is stable with 94 neutrons",1789,"after ytterby (sweden), where it was mined",,8.23,empirical: 177 pm,2620,"at r.t. ?, poly: 10.3 μm/(m·k)","?, poly: 1.150 μ?·m (at r.t.)",? form: 55.7 gpa,? form: 22.1 gpa,? form: 38.7 gpa,,675–1200 mpa,? form: 0.261,450–865 mpa,,,,,,,,carl gustaf mosander (1842),,,,,,,,,,,
66,dysprosium,dy,"dysprosium, dy","/d?s?pro?zi?m/, dis-proh-zee-?m",silvery white,66,"group n/a, f-block",6,lanthanide,162.5001,[xe] 4f10 6s2,2,,solid,1680,2840,,8.37,,,,11.06,280,27.7,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1378, 1523, (1704), (1954), (2304), (2831)",4,pauling scale: 1.22,"1st: 573.0 kj/mol, 2nd: 1130 kj/mol, 3rd: 2200 kj/mol",192±7 pm,,hexagonal close-packed (hcp),,10.7,paramagnetic at 300 k,7429-91-6,lecoq de boisbaudran (1886),,"iso, na, half-life, dm, de (mev), dp, 154dy, syn, 3.0×106 y, ?, 2.947, 150gd, 156dy, 0.056%, 156dy is stable with 90 neutrons, 158dy, 0.095%, 158dy is stable with 92 neutrons, 160dy, 2.329%, 160dy is stable with 94 neutrons, 161dy, 18.889%, 161dy is stable with 95 neutrons, 162dy, 25.475%, 162dy is stable with 96 neutrons, 163dy, 24.896%, 163dy is stable with 97 neutrons, 164dy, 28.260%, 164dy is stable with 98 neutrons",1378,,,8.54,empirical: 178 pm,2710,"?, poly: 9.9 μm/(m·k) (r.t.)","?, poly: 926 n?·m (r.t.)",? form: 61.4 gpa,? form: 24.7 gpa,? form: 40.5 gpa,,500–1050 mpa,? form: 0.247,410–550 mpa,,,,,,,,,,,,,,,,,,,
67,holmium,ho,"holmium, ho","/?ho?lmi?m/, hohl-mee-?m",silvery white,67,"group n/a, f-block",6,lanthanide,164.930332,[xe] 4f11 6s2,2,,solid,1734,2873,,8.34,,,,17,251,27.15,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1432, 1584, (1775), (2040), (2410), (2964)",3,pauling scale: 1.23,"1st: 581.0 kj/mol, 2nd: 1140 kj/mol, 3rd: 2204 kj/mol",192±7 pm,,hexagonal close-packed (hcp),,16.2,paramagnetic,7440-60-0,marc delafontaine (1878),,"iso, na, half-life, dm, de (mev), dp, 163ho, syn, 4570 y, ?, 0.003, 163dy, 164ho, syn, 29 min, ?, 0.987, 164dy, 165ho, 100%, 165ho is stable with 98 neutrons, 166ho, syn, 26.763 h, ??, 1.855, 166er, 167ho, syn, 3.1 h, ??, 1.007, 167er",1432,,,8.79,empirical: 176 pm,2760,poly: 11.2 μm/(m·k) (at r.t.),poly: 814 n?·m (at r.t.),64.8,26.3,40.2,,500–1250 mpa,0.231,410–600 mpa,,,,,,,,,,,,,,,,,,,
68,erbium,er,"erbium, er","/???rbi?m/, ur-bee-?m",silvery white,68,"group n/a, f-block",6,lanthanide,167.2593,[xe] 4f12 6s2,2,,solid,1802,3141,,8.86,,,,19.9,280,28.12,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1504, 1663, (1885), (2163), (2552), (3132)",3,pauling scale: 1.24,"1st: 589.3 kj/mol, 2nd: 1150 kj/mol, 3rd: 2194 kj/mol",189±6 pm,,hexagonal close-packed (hcp),,14.5,paramagnetic at 300 k,7440-52-0,carl gustaf mosander (1842),,"iso, na, half-life, dm, de (mev), dp, 160er, syn, 28.58 h, ?, 0.330, 160ho, 162er, 0.139%, 162er is stable with 94 neutrons, 164er, 1.601%, 164er is stable with 96 neutrons, 165er, syn, 10.36 h, ?, 0.376, 165ho, 166er, 33.503%, 166er is stable with 98 neutrons, 167er, 22.869%, 167er is stable with 99 neutrons, 168er, 26.978%, 168er is stable with 100 neutrons, 169er, syn, 9.4 d, ??, 0.351, 169tm, 170er, 14.910%, 170er is stable with 102 neutrons, 171er, syn, 7.516 h, ??, 1.490, 171tm, 172er, syn, 49.3 h, ??, 0.891, 172tm",1504,"after ytterby (sweden), where it was mined",,9.066,empirical: 176 pm,2830,poly: 12.2 μm/(m·k) (r.t.),poly: 0.860 μ?·m (r.t.),69.9,28.3,44.4,,600–1070 mpa,0.237,430–700 mpa,,,,,,,,,,,,,,,,,,,
69,thulium,tm,"thulium, tm","/??ju?li?m/ or /??u?li?m/, thew-lee-?m or thoo-lee-?m",silvery gray,69,"group n/a, f-block",6,lanthanide,168.934222,[xe] 4f13 6s2,2,,solid,1818,2223,,8.56,,,,16.84,191,27.03,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1117, 1235, 1381, 1570, (1821), (2217)",2,pauling scale: 1.25,"1st: 596.7 kj/mol, 2nd: 1160 kj/mol, 3rd: 2285 kj/mol",190±10 pm,,hexagonal close-packed (hcp),,16.9,paramagnetic (at 300 k),7440-30-4,,,"iso, na, half-life, dm, de (mev), dp, 167tm, syn, 9.25 d, ?, 0.748, 167er, 168tm, syn, 93.1 d, ?, 1.679, 168er, 169tm, 100%, 169tm is stable with 100 neutrons, 170tm, syn, 128.6 d, ??, 0.968, 170yb, 171tm, syn, 1.92 y, ??, 0.096, 171yb",1117,"after thule, a mythical region in scandinavia",,9.32,empirical: 176 pm,,poly: 13.3 μm/(m·k) (at r.t.),poly: 676 n?·m (at r.t.),74,30.5,44.5,,470–900 mpa,0.213,470–650 mpa,,,,,,,,per teodor cleve (1879),,,,,,,,,,,
70,ytterbium,yb,"ytterbium, yb","/??t??rbi?m/, i-tur-bee-?m",silvery white; with a pale yellow tint,70,"group n/a, f-block",6,lanthanide,173.0451,[xe] 4f14 6s2,2,,solid,1097,1469,,6.21,,,,7.66,129,26.74,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 736, 813, 910, 1047, (1266), (1465)",3,pauling scale: 1.1 (?),"1st: 603.4 kj/mol, 2nd: 1174.8 kj/mol, 3rd: 2417 kj/mol",187±8 pm,,face-centered cubic (fcc),,38.5,paramagnetic,7440-64-4,jean charles galissard de marignac (1878),,"iso, na, half-life, dm, de (mev), dp, 166yb, syn, 56.7 h, ?, 0.304, 166tm, 168yb, 0.126%, 168yb is stable with 98 neutrons, 169yb, syn, 32.026 d, ?, 0.909, 169tm, 170yb, 3.023%, 170yb is stable with 100 neutrons, 171yb, 14.216%, 171yb is stable with 101 neutrons, 172yb, 21.754%, 172yb is stable with 102 neutrons, 173yb, 16.098%, 173yb is stable with 103 neutrons, 174yb, 31.896%, 174yb is stable with 104 neutrons, 175yb, syn, 4.185 d, ??, 0.470, 175lu, 176yb, 12.887%, 176yb is stable with 106 neutrons, 177yb, syn, 1.911 h, ??, 1.399, 177lu",736,"after ytterby (sweden), where it was mined",georges urbain (1907),6.9,empirical: 176 pm,1590,"?, poly: 26.3 μm/(m·k) (r.t.)","?, poly: 0.250 μ?·m (at r.t.)",? form: 23.9 gpa,? form: 9.9 gpa,? form: 30.5 gpa,,340–440 mpa,? form: 0.207,205–250 mpa,,,,,,,,,,,,,,,,,,,
71,lutetium,lu,"lutetium, lu","/lju??ti??i?m/, lew-tee-shee-?m",silvery white,71,"group n/a, d-block",6,"lanthanide, sometimes considered a transition metal",174.96681,[xe] 6s2 4f14 5d1,2,,solid,1925,3675,,9.3,,,,ca. 22 kj/mol,414,26.86,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1906, 2103, 2346, (2653), (3072), (3663)",3,pauling scale: 1.27,"1st: 523.5 kj/mol, 2nd: 1340 kj/mol, 3rd: 2022.3 kj/mol",187±8 pm,,hexagonal close-packed (hcp),,16.4,paramagnetic,7439-94-3,,georges urbain (1906),"iso, na, half-life, dm, de (mev), dp, 173lu, syn, 1.37 y, ?, 0.671, 173yb, 174lu, syn, 3.31 y, ?, 1.374, 174yb, 175lu, 97.401%, 175lu is stable with 104 neutrons, 176lu, 2.599%, 3.78×1010 y, ??, 1.193, 176hf",1906,"after lutetia, latin for: paris, in the roman era",,9.841,empirical: 174 pm,,poly: 9.9 μm/(m·k) (at r.t.),poly: 582 n?·m (at r.t.),68.6,27.2,47.6,,890–1300 mpa,0.261,755–1160 mpa,,,,,,,,carl auer von welsbach (1906),,,,,,,,,,,
72,hafnium,hf,"hafnium, hf","/?hæfni?m/, haf-nee-?m",steel gray,72,"group 4, d-block",6,transition metal,178.492,[xe] 4f14 5d2 6s2,2,,solid,2506,4876,,12,,,,27.2,648,25.73,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 2689, 2954, 3277, 3679, 4194, 4876",4,pauling scale: 1.3,"1st: 658.5 kj/mol, 2nd: 1440 kj/mol, 3rd: 2250 kj/mol",175±10 pm,,hexagonal close-packed (hcp),,23,paramagnetic,7440-58-6,,,"iso, na, half-life, dm, de (mev), dp, 172hf, syn, 1.87 y, ?, 0.350, 172lu, 174hf, 0.16%, 2×1015 y, ?, 2.495, 170yb, 176hf, 5.26%, 176hf is stable with 104 neutrons, 177hf, 18.60%, 177hf is stable with 105 neutrons, 178hf, 27.28%, 178hf is stable with 106 neutrons, 178m2hf, syn, 31 y, it, 2.446, 178hf, 179hf, 13.62%, 179hf is stable with 107 neutrons, 180hf, 35.08%, 180hf is stable with 108 neutrons, 182hf, syn, 8.9×106 y, ??, 0.373, 182ta",2689,"after hafnia. latin for: copenhagen, where it was discovered",,13.31,empirical: 159 pm,3010,5.9,331,78,30,110,5.5,1450–2100 mpa,0.37,1520–2060 mpa,,,,,,,dmitri mendeleev (1869),dirk coster and george de hevesy (1922),,,,,,,,,,,
73,tantalum,ta,"tantalum, ta","/?tænt?l?m/, tan-t?l-?m, previously: /tæn?tæli?m/, tan-tal-ee-?m",gray blue,73,"group 5, d-block",6,transition metal,180.947882,[xe] 4f14 5d3 6s2,2,,solid,3290,5731,,15,,,,36.57,753,25.36,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 3297, 3597, 3957, 4395, 4939, 5634",5,pauling scale: 1.5,"1st: 761 kj/mol, 2nd: 1500 kj/mol",170±8 pm,,"tetragonal, ?-ta",,57.5,paramagnetic,7440-25-7,anders gustaf ekeberg (1802),,"iso, na, half-life, dm, de (mev), dp, 177ta, syn, 56.56 h, ?, 1.166, 177hf, 178ta, syn, 2.36 h, ?, 1.910, 178hf, 179ta, syn, 1.82 y, ?, 0.110, 179hf, 180ta, syn, 8.125 h, ?, 0.854, 180hf, ??, 0.708, 180w, 180mta, 0.012%, 180mta is stable with 107 neutrons, 181ta, 99.988%, 181ta is stable with 108 neutrons, 182ta, syn, 114.43 d, ??, 1.814, 182w, 183ta, syn, 5.1 d, ??, 1.070, 183w",3297,,,16.69,empirical: 146 pm,3400,6.3,131,186,69,200,6.5,440–3430 mpa,0.34,870–1200 mpa,,,,,,,,,,,,,,heinrich rose (1844),,,,,
74,tungsten,w,"tungsten, w","/?t??st?n/; /?w?lfr?m/, tung-st?n; wuul-fr?m","grayish white, lustrous",74,"group 6, d-block",6,transition metal,183.841,[xe] 4f14 5d4 6s2,2,,solid,3695,6203,,17.6,,,,35.3,774,24.27,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 3477, 3773, 4137, 4579, 5127, 5823",6,pauling scale: 2.36,"1st: 770 kj/mol, 2nd: 1700 kj/mol",162±7 pm,,body-centered cubic (bcc),,173,paramagnetic,7440-33-7,carl wilhelm scheele (1781),torbern bergman (1781),"iso, na, half-life, dm, de (mev), dp, 180w, 0.12%, 1.8×1018 y, ?, 2.516, 176hf, 181w, syn, 121.2 d, ?, 0.188, 181ta, 182w, 26.50%, 182w is stable with 108 neutrons, 183w, 14.31%, 183w is stable with 110 neutrons, 184w, 30.64%, 184w is stable with 111 neutrons, 185w, syn, 75.1 d, ??, 0.433, 185re, 186w, 28.43%, 186w is stable with 112 neutrons",3477,,juan josé elhuyar and fausto elhuyar (1783),19.25,empirical: 139 pm,4620,4.5,52.8,411,161,310,7.5,2000–4000 mpa,0.28,3430–4600 mpa,,,,,,,,,wolfram,,,,,,,,,,
75,rhenium,re,"rhenium, re","/?ri?ni?m/, ree-nee-?m",silvery-grayish,75,"group 7, d-block",6,transition metal,186.2071,[xe] 4f14 5d5 6s2,2,,solid,3459,5903,,18.9,,,,60.43,704,25.48,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 3303, 3614, 4009, 4500, 5127, 5954",7,pauling scale: 1.9,"1st: 760 kj/mol, 2nd: 1260 kj/mol, 3rd: 2510 kj/mol, (more)",151±7 pm,,hexagonal close-packed (hcp),,48,paramagnetic,7440-15-5,masataka ogawa (1908),"walter noddack, ida noddack, otto berg (1922)","iso, na, half-life, dm, de (mev), dp, 185re, 37.4%, 185re is stable with 110 neutrons, 187re, 62.6%, 4.12×1010 y, ??, 0.0026, 187os",3303,after the river rhine (german: rhein),masataka ogawa (1919),21.02,empirical: 137 pm,4700,6.2,193,463,178,370,7,1320–2500 mpa,0.3,1350–7850 mpa,,,,,,,,,,,,,,,,,,,
76,osmium,os,"osmium, os","/??zmi?m/, oz-mee-?m","silvery, blue cast",76,"group 8, d-block",6,transition metal,190.233,[xe] 4f14 5d6 6s2,2,,solid,3306,5285,,20,,,,31,378,24.7,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 3160, 3423, 3751, 4148, 4638, 5256",8,pauling scale: 2.2,"1st: 840 kj/mol, 2nd: 1600 kj/mol",144±4 pm,,hexagonal close-packed (hcp),,87.6,paramagnetic,7440-04-2,,,"iso, na, half-life, dm, de (mev), dp, 184os, 0.02%, 184os is stable with 108 neutrons, 185os, syn, 93.6 d, ?, 1.013, 185re, 186os, 1.59%, 2.0×1015 y, ?, 2.822, 182w, 187os, 1.96%, 187os is stable with 111 neutrons, 188os, 13.24%, 188os is stable with 112 neutrons, 189os, 16.15%, 189os is stable with 113 neutrons, 190os, 26.26%, 190os is stable with 114 neutrons, 191os, syn, 15.4 d, ??, 0.314, 191ir, 192os, 40.78%, 192os is stable with 116 neutrons, 193os, syn, 30.11 d, ??, 1.141, 193ir, 194os, syn, 6 y, ??, 0.097, 194ir",3160,,,22.59,empirical: 135 pm,4940,5.1,81.2,,222,462,7,3490–4000 mpa,0.25,,,,,,,,,smithson tennant (1803),,,,,,,,,,,
77,iridium,ir,"iridium, ir","/??r?di?m/, i-rid-ee-?m",silvery white,77,"group 9, d-block",6,transition metal,192.2173,[xe] 4f14 5d7 6s2,2,,solid,2719,4403,,19,,,,41.12,564,25.1,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 2713, 2957, 3252, 3614, 4069, 4659","?3, ?1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9",pauling scale: 2.20,"1st: 880 kj/mol, 2nd: 1600 kj/mol",141±6 pm,,face-centered cubic (fcc),,147,paramagnetic,7439-88-5,,,"iso, na, half-life, dm, de (mev), dp, 188ir, syn, 1.73 d, ?, 1.64, 188os, 189ir, syn, 13.2 d, ?, 0.532, 189os, 190ir, syn, 11.8 d, ?, 2.000, 190os, 191ir, 37.3%, 191ir is stable with 114 neutrons, 192ir, syn, 73.827 d, ??, 1.460, 192pt, ?, 1.046, 192os, 192m2ir, syn, 241 y, it, 0.161, 192ir, 193ir, 62.7%, 193ir is stable with 116 neutrons, 193mir, syn, 10.5 d, it, 0.080, 193ir, 194ir, syn, 19.3 h, ??, 2.247, 194pt, 194m2ir, syn, 171 d, it, –, 194ir",2713,,,22.56,empirical: 136 pm,4825,6.4,47.1,528,210,320,6.5,1670,0.26,1760–2200 mpa,,,,,,,,smithson tennant (1803),,,,,,,,,,,
78,platinum,pt,"platinum, pt","/?plæt?n?m/, plat-i-n?m",silvery white,78,"group 10, d-block",6,transition metal,195.0849,[xe] 4f14 5d9 6s1,2,,solid,2041.4,4098,,19.77,,,,22.17,510,25.86,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 2330, (2550), 2815, 3143, 3556, 4094",6,pauling scale: 2.28,"1st: 870 kj/mol, 2nd: 1791 kj/mol",136±5 pm,175,face-centered cubic (fcc),,71.6,paramagnetic,7440-06-4,,,"iso, na, half-life, dm, de (mev), dp, 190pt, 0.012%, 6.5×1011 y, ?, 3.252, 186os, 192pt, 0.782%, 192pt is stable with 114 neutrons, 193pt, syn, 50 y, ?, –, 193ir, 194pt, 32.864%, 194pt is stable with 116 neutrons, 195pt, 33.775%, 195pt is stable with 117 neutrons, 196pt, 25.211%, 196pt is stable with 118 neutrons, 198pt, 7.356%, 198pt is stable with 120 neutrons",2330,,,21.45,empirical: 139 pm,2800,8.8,105,168,61,230,3.5,300–500 mpa,0.38,400–550 mpa,,,,,,,,antonio de ulloa (1748),,,,,,,,125–240 mpa,,,
79,gold,au,"gold, au","/??o?ld/, gohld",metallic yellow,79,"group 11, d-block",6,transition metal,196.9665695,[xe] 4f14 5d10 6s1,2,,solid,1337.33,3243,,17.31,,,,12.55,342,25.418,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1646, 1814, 2021, 2281, 2620, 3078",5,pauling scale: 2.54,"1st: 890.1 kj/mol, 2nd: 1980 kj/mol",136±6 pm,166,face-centered cubic (fcc),,318,diamagnetic,7440-57-5,in the middle east (before 6000 bce),,"iso, na, half-life, dm, de (mev), dp, 195au, syn, 186.10 d, ?, 0.227, 195pt, 196au, syn, 6.183 d, ?, 1.506, 196pt, ??, 0.686, 196hg, 197au, 100%, 197au is stable with 118 neutrons, 198au, syn, 2.69517 d, ??, 1.372, 198hg, 199au, syn, 3.169 d, ??, 0.453, 199hg",1646,"from latin aurum, meaning gold",,19.3,empirical: 144 pm,2030,14.2,22.14,79,27,180,2.5,188–245 mpa,0.4,188–216 mpa,,,,,,,,,,,,,,,,120,,,
80,mercury,hg,"mercury, hg","/?m??rkj?ri/, mer-ky?-ree",silvery,80,"group 12, d-block",6,"transition metal, alternatively considered a post-transition metal",200.5923,[xe] 4f14 5d10 6s2,2,,liquid,234.321,629.88,,,,234.3156,1750,2.29,59.11,27.983,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 315, 350, 393, 449, 523, 629",2,pauling scale: 2.00,"1st: 1007.1 kj/mol, 2nd: 1810 kj/mol, 3rd: 3300 kj/mol",132±5 pm,155,rhombohedral,liquid: 1451.4 m/s (at 20 °c),8.3,diamagnetic,7439-97-6,ancient chinese and indians (before 2000 bce),,"iso, na, half-life, dm, de (mev), dp, 194hg, syn, 444 y, ?, 0.040, 194au, 195hg, syn, 9.9 h, ?, 1.510, 195au, 196hg, 0.15%, 196hg is stable with 116 neutrons, 197hg, syn, 64.14 h, ?, 0.600, 197au, 198hg, 10.04%, 198hg is stable with 118 neutrons, 199hg, 16.94%, 199hg is stable with 119 neutrons, 200hg, 23.14%, 200hg is stable with 120 neutrons, 201hg, 13.17%, 201hg is stable with 121 neutrons, 202hg, 29.74%, 202hg is stable with 122 neutrons, 203hg, syn, 46.612 d, ??, 0.492, 203tl, 204hg, 6.82%, 204hg is stable with 124 neutrons",315,,,13.534,empirical: 151 pm,,60.4,961,,,,,,,,,,,,,,,,,,,,,,,,,,
81,thallium,tl,"thallium, tl","/??æli?m/, thal-ee-?m",silvery white,81,"group 13, p-block",6,post-transition metal,204.38,[xe] 4f14 5d10 6s2 6p1,2,,solid,577,1746,,11.22,,,,4.14,165,26.32,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 882, 977, 1097, 1252, 1461, 1758",3,pauling scale: 1.62,"1st: 589.4 kj/mol, 2nd: 1971 kj/mol, 3rd: 2878 kj/mol",145±7 pm,196,hexagonal close-packed (hcp),,46.1,diamagnetic,7440-28-0,william crookes (1861),,"iso, na, half-life, dm, de (mev), dp, 203tl, 29.5%, 203tl is stable with 122 neutrons, 204tl, syn, 3.78 y, ??, 0.764, 204pb, ?, 0.347, 204hg, 205tl, 70.5%, 205tl is stable with 124 neutrons",882,,claude-auguste lamy (1862),11.85,empirical: 170 pm,818,29.9,0.18,8,2.8,43,1.2,26.5–44.7 mpa,0.45,,,,,,,,,,,,,,,,,,,,
82,lead,pb,"lead, pb","/?l?d/, led",metallic gray,82,"group 14 (carbon group), p-block",6,post-transition metal,207.21,[xe] 4f14 5d10 6s2 6p2,2,,solid,600.61,2022,,10.66,,,,4.77,179.5,26.65,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 978, 1088, 1229, 1412, 1660, 2027",4,pauling scale: 1.87,"1st: 715.6 kj/mol, 2nd: 1450.5 kj/mol, 3rd: 3081.5 kj/mol",146±5 pm,202,face-centered cubic (fcc),,35.3,diamagnetic,7439-92-1,middle easterns (7000 bce),,"iso, na, half-life, dm, de (mev), dp, 202pb, syn, 53000 y, ?, 0.0497, 202tl, 204pb, 1.4%, 204pb is stable with 122 neutrons, 205pb, trace, 1.53×107 y, ?, 0.051, 205tl, 206pb, 24.1%, 206pb is stable with 124 neutrons, 207pb, 22.1%, 207pb is stable with 125 neutrons, 208pb, 52.4%, 208pb is stable with 126 neutrons, 210pb, trace, 22.3 y, ??, 0.064, 210bi",978,,,11.34,empirical: 175 pm,1190,28.9,208,16,5.6,46,1.5,38–50 mpa,0.44,,,,,,,,,,,,,,,,,,,,
83,bismuth,bi,"bismuth, bi","/?b?zm??/, biz-m?th",lustrous brownish silver,83,"group 15 (pnictogens), p-block",6,post-transition metal,208.980401,[xe] 4f14 5d10 6s2 6p3,2,,solid,544.7,1837,,10.05,,,,11.3,179,25.52,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 941, 1041, 1165, 1325, 1538, 1835",5,pauling scale: 2.02,"1st: 703 kj/mol, 2nd: 1610 kj/mol, 3rd: 2466 kj/mol, (more)",148±4 pm,207,rhombohedral,,7.97,diamagnetic,7440-69-9,claude françois geoffroy (1753),,"iso, na, half-life, dm, de (mev), dp, 207bi, syn, 31.55 y, ?+, 2.399, 207pb, 208bi, syn, 3.68×105 y, ?+, 2.880, 208pb, 209bi, 100%, 1.9×1019 y, ?, 3.137, 205tl, 210bi, trace, 5.012 d, ??, 1.426, 210po, ?, 5.982, 206tl, 210mbi, syn, 3.04×106 y, it, 0.271, 210bi, ?, 6.253, 206tl",941,,,9.78,empirical: 156 pm,1790,13.4,1.29,32,12,31,2.25,70–95 mpa,0.33,,,,,,,,,,,,,,,,,,,,
84,polonium,po,"polonium, po","/po??lo?ni?m/, po-loh-nee-?m",silvery,84,"group 16 (chalcogens), p-block",6,"post-transition metal, but this status is disputed",209,[xe] 4f14 5d10 6s2 6p4,2,,solid,527,1235,,,,,,ca. 13 kj/mol,102.91,26.4,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), (846), 1003, 1236",6,pauling scale: 2.0,1st: 812.1 kj/mol,140±4 pm,197,"rhombohedral, ?-po",,20,nonmagnetic,7440-08-6,pierre and marie curie (1898),,"iso, na, half-life, dm, de (mev), dp, 208po, syn, 2.898 y, ?, 5.215, 204pb, ?+, 1.401, 208bi, 209po, syn, (125.2±3.3) y, ?, 4.979, 205pb, ?+, 1.893, 209bi, 210po, trace, 138.376 d, ?, 5.307, 206pb",,"after polonia, latin for poland, homeland of marie curie",willy marckwald (1902),"alpha: 9.196 g/cm3, beta: 9.398 g/cm3",empirical: 168 pm,,23.5,?: 0.40 μ?·m (at 0 °c),,,,,,,,"?, ?",,,,,,,,,,,,,,,,,,
85,astatine,at,"astatine, at","/?æst?ti?n/ or /?æst?t?n/, as-t?-teen or as-t?-tin","unknown, probably metallic",85,"group 17 (halogens), p-block",6,"metalloid, sometimes classified as a nonmetal, or a metal",210,[xe] 4f14 5d10 6s2 6p5,2,,solid,575,610,,,,,,,(at2) 54.39 kj/mol,,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 361, 392, 429, 475, 531, 607","?1, +1, +3, +5, +7",pauling scale: 2.2,1st: 899.003 kj/mol,150,202,"face-centered cubic (fcc), (predicted)",,1.7,,7440-68-8,"dale r. corson, kenneth ross mackenzie, emilio segrè (1940)",,"iso, na, half-life, dm, de (mev), dp, 209at, syn, 5.41 h, ?+, 3.486, 209po, ?, 5.758, 205bi, 210at, syn, 8.1 h, ?+, 3.981, 210po, ?, 5.632, 206bi, 211at, syn, 7.21 h, ?, 0.786, 211po, ?, 5.983, 207bi",361,"after greek astatos (???????), meaning ""unstable""",,(at2) 6.35±0.15 g/cm3 (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,(at2) 32.94 cm3/mol (predicted),,
86,radon,rn,"radon, rn",/?re?d?n/ ray-don,"colorless gas, occasionally glows green or red in discharge tubes",86,"group 18 (noble gases), p-block",6,noble gas,222,[xe] 4f14 5d10 6s2 6p6,2,,gas,202,211.5,9.73,,4.4,,377,3.247,18.1,5r/2 = 20.786 j/(mol·k),"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 110, 121, 134, 152, 176, 211",6,pauling scale: 2.2,1st: 1037 kj/mol,150,220,face-centered cubic (fcc),,3.61×10?3  w/(m·k),non-magnetic,10043-92-2,ernest rutherford and robert b. owens (1899),,"iso, na, half-life, dm, de (mev), dp, 210rn, syn, 2.4 h, ?, 6.404, 206po, 211rn, syn, 14.6 h, ?, 2.892, 211at, ?, 5.965, 207po, 222rn, trace, 3.8235 d, ?, 5.590, 218po, 224rn, syn, 1.8 h, ??, 0.8, 224fr",110,,william ramsay and robert whytlaw-gray (1910),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
